"ZIP","NAME"
"95404","Napa"
"95404","Sonoma"
"95033","Santa Clara"
"95033","San Mateo"
"95441","Sonoma"
"94956","Marin"
"95206","Contra Costa"
"94513","Contra Costa"
"95139","Santa Clara"
"94158","San Francisco"
"94089","Santa Clara"
"95023","Santa Clara"
"94575","Contra Costa"
"94720","Alameda"
"95472","Sonoma"
"95471","Sonoma"
"94550","Alameda"
"94550","Santa Clara"
"95461","Napa"
"95461","Sonoma"
"94132","San Mateo"
"94132","San Francisco"
"94133","San Francisco"
"95421","Sonoma"
"94104","San Francisco"
"94111","San Francisco"
"95425","Sonoma"
"94567","Napa"
"95494","Sonoma"
"95694","Solano"
"95694","Napa"
"95439","Sonoma"
"95053","Santa Clara"
"95119","Santa Clara"
"94571","Solano"
"94571","Contra Costa"
"94019","San Mateo"
"94030","San Mateo"
"94062","Santa Clara"
"94062","San Mateo"
"94086","Santa Clara"
"94110","San Francisco"
"94516","Contra Costa"
"95476","Solano"
"95476","Napa"
"95476","Sonoma"
"94709","Alameda"
"95113","Santa Clara"
"95363","Santa Clara"
"95607","Napa"
"94115","San Francisco"
"94117","San Francisco"
"94108","San Francisco"
"94972","Sonoma"
"94972","Marin"
"94801","Contra Costa"
"94564","Contra Costa"
"94038","San Mateo"
"94061","San Mateo"
"94590","Solano"
"94590","Contra Costa"
"95013","Santa Clara"
"94025","Santa Clara"
"94025","San Mateo"
"95445","Sonoma"
"94706","Alameda"
"94706","Contra Costa"
"94850","Contra Costa"
"94933","Marin"
"94952","Sonoma"
"94952","Marin"
"94954","Sonoma"
"94954","Marin"
"94973","Marin"
"95020","Santa Clara"
"95037","Santa Clara"
"95076","Santa Clara"
"95117","Santa Clara"
"95140","Alameda"
"95140","Santa Clara"
"95219","Contra Costa"
"95304","Alameda"
"95304","Contra Costa"
"95360","Santa Clara"
"95430","Sonoma"
"95431","Sonoma"
"94122","San Francisco"
"94130","San Francisco"
"94401","San Mateo"
"94502","Alameda"
"94508","Napa"
"94525","Solano"
"94525","Contra Costa"
"94534","Solano"
"94534","Napa"
"95444","Sonoma"
"95449","Sonoma"
"95451","Sonoma"
"95486","Sonoma"
"94548","Contra Costa"
"94558","Solano"
"94558","Napa"
"94558","Sonoma"
"94568","Alameda"
"94568","Contra Costa"
"94573","Napa"
"94574","Napa"
"94574","Sonoma"
"94585","Solano"
"94592","Solano"
"94606","Alameda"
"94613","Alameda"
"94561","Contra Costa"
"94105","San Francisco"
"95448","Sonoma"
"94002","San Mateo"
"94949","Marin"
"94015","San Mateo"
"94015","San Francisco"
"94928","Sonoma"
"94114","San Francisco"
"94553","Solano"
"94553","Contra Costa"
"95130","Santa Clara"
"95615","Solano"
"94503","Solano"
"94503","Napa"
"95391","Alameda"
"95391","Contra Costa"
"94596","Contra Costa"
"95401","Sonoma"
"95046","Santa Clara"
"94134","San Mateo"
"94134","San Francisco"
"95407","Sonoma"
"95625","Solano"
"94576","Napa"
"94963","Marin"
"95128","Santa Clara"
"94512","Solano"
"94704","Alameda"
"95606","Napa"
"95122","Santa Clara"
"94027","San Mateo"
"95426","Sonoma"
"95129","Santa Clara"
"94538","Alameda"
"94538","Santa Clara"
"95497","Sonoma"
"94404","San Mateo"
"94710","Alameda"
"94710","Contra Costa"
"94580","Alameda"
"95035","Alameda"
"95035","Santa Clara"
"94131","San Francisco"
"94708","Alameda"
"94708","Contra Costa"
"94526","Contra Costa"
"94040","Santa Clara"
"95409","Napa"
"95409","Sonoma"
"94118","San Francisco"
"94518","Contra Costa"
"94087","Santa Clara"
"94605","Alameda"
"95051","Santa Clara"
"94523","Contra Costa"
"94043","Santa Clara"
"94555","Alameda"
"94063","San Mateo"
"95148","Santa Clara"
"94618","Alameda"
"94559","Solano"
"94559","Napa"
"94559","Sonoma"
"94901","Marin"
"94611","Alameda"
"94611","Contra Costa"
"94305","Santa Clara"
"94305","San Mateo"
"94020","Santa Clara"
"94020","San Mateo"
"94960","Marin"
"95462","Sonoma"
"94609","Alameda"
"95134","Alameda"
"95134","Santa Clara"
"94530","Alameda"
"94530","Contra Costa"
"94112","San Mateo"
"94112","San Francisco"
"95405","Sonoma"
"94578","Alameda"
"94946","Marin"
"95136","Santa Clara"
"94587","Alameda"
"94939","Marin"
"94539","Alameda"
"94539","Santa Clara"
"94599","Napa"
"94510","Solano"
"94510","Contra Costa"
"94511","Contra Costa"
"94945","Sonoma"
"94945","Marin"
"94924","Marin"
"94542","Alameda"
"94930","Marin"
"94129","San Francisco"
"95687","Solano"
"95234","Contra Costa"
"95131","Santa Clara"
"95616","Solano"
"95014","Santa Clara"
"95132","Alameda"
"95132","Santa Clara"
"94582","Alameda"
"94582","Contra Costa"
"94964","Marin"
"94591","Solano"
"94591","Napa"
"94591","Contra Costa"
"94583","Alameda"
"94583","Contra Costa"
"94603","Alameda"
"95050","Santa Clara"
"94929","Marin"
"94565","Solano"
"94565","Contra Costa"
"95412","Sonoma"
"95138","Santa Clara"
"94509","Contra Costa"
"95620","Solano"
"94546","Alameda"
"94547","Contra Costa"
"94556","Contra Costa"
"94060","San Mateo"
"95641","Solano"
"95688","Solano"
"95688","Napa"
"95612","Solano"
"94074","San Mateo"
"95690","Solano"
"94545","Alameda"
"94520","Contra Costa"
"94531","Contra Costa"
"95679","Napa"
"94304","Santa Clara"
"94304","San Mateo"
"94022","Santa Clara"
"94022","San Mateo"
"94024","Santa Clara"
"94505","Alameda"
"94505","Contra Costa"
"94506","Contra Costa"
"94306","Santa Clara"
"94402","San Mateo"
"95618","Solano"
"94028","Santa Clara"
"94028","San Mateo"
"94037","San Mateo"
"94044","San Mateo"
"94116","San Francisco"
"94121","San Francisco"
"94514","Alameda"
"94514","Contra Costa"
"94517","Contra Costa"
"95680","Solano"
"94533","Solano"
"94536","Alameda"
"94005","San Mateo"
"94005","San Francisco"
"94010","San Mateo"
"94014","San Mateo"
"94014","San Francisco"
"94021","San Mateo"
"94501","Alameda"
"94501","San Francisco"
"94065","San Mateo"
"94070","San Mateo"
"94107","San Francisco"
"94109","San Francisco"
"94080","San Mateo"
"94102","San Francisco"
"94103","San Francisco"
"94123","San Francisco"
"94127","San Francisco"
"94128","San Mateo"
"94301","Santa Clara"
"94301","San Mateo"
"94598","Contra Costa"
"94923","Sonoma"
"94923","Marin"
"95006","San Mateo"
"95017","San Mateo"
"94586","Alameda"
"94588","Alameda"
"94588","Contra Costa"
"95450","Sonoma"
"95030","Santa Clara"
"94579","Alameda"
"94551","Alameda"
"94551","Contra Costa"
"94806","Contra Costa"
"94552","Alameda"
"94552","Contra Costa"
"94903","Marin"
"94920","Marin"
"94920","San Francisco"
"94922","Sonoma"
"94922","Marin"
"95054","Santa Clara"
"94589","Solano"
"94589","Napa"
"94595","Contra Costa"
"94597","Contra Costa"
"94937","Marin"
"94941","Marin"
"94607","Alameda"
"94925","Marin"
"94931","Sonoma"
"94563","Alameda"
"94563","Contra Costa"
"94938","Marin"
"94940","Marin"
"95070","Santa Clara"
"94549","Contra Costa"
"94608","Alameda"
"94612","Alameda"
"95008","Santa Clara"
"94965","Marin"
"94560","Alameda"
"94619","Alameda"
"94619","Contra Costa"
"94947","Marin"
"94950","Marin"
"94621","Alameda"
"94702","Alameda"
"94703","Alameda"
"94566","Alameda"
"94572","Contra Costa"
"94577","Alameda"
"94705","Alameda"
"94705","Contra Costa"
"94707","Alameda"
"94707","Contra Costa"
"94970","Marin"
"95002","Alameda"
"95002","Santa Clara"
"95032","Santa Clara"
"94804","Alameda"
"94804","Contra Costa"
"94805","Contra Costa"
"95120","Santa Clara"
"95135","Santa Clara"
"95387","Alameda"
"95387","Santa Clara"
"95457","Napa"
"95121","Santa Clara"
"95123","Santa Clara"
"95124","Santa Clara"
"95125","Santa Clara"
"95126","Santa Clara"
"95403","Sonoma"
"95127","Santa Clara"
"95442","Napa"
"95442","Sonoma"
"95110","Santa Clara"
"95111","Santa Clara"
"95112","Santa Clara"
"95116","Santa Clara"
"95118","Santa Clara"
"95492","Sonoma"
"95045","Santa Clara"
"94124","San Mateo"
"94124","San Francisco"
"94303","Santa Clara"
"94303","San Mateo"
"94528","Contra Costa"
"94535","Solano"
"94544","Alameda"
"95133","Santa Clara"
"95436","Sonoma"
"95446","Sonoma"
"94904","Marin"
"94951","Sonoma"
"94066","San Mateo"
"94803","Contra Costa"
"94957","Marin"
"94521","Contra Costa"
"94515","Napa"
"94515","Sonoma"
"95637","Napa"
"94041","Santa Clara"
"94569","Contra Costa"
"94602","Alameda"
"95377","Alameda"
"94507","Contra Costa"
"95465","Sonoma"
"94601","Alameda"
"95452","Napa"
"95452","Sonoma"
"94085","Santa Clara"
"94519","Contra Costa"
"94541","Alameda"
"94403","San Mateo"
"94971","Marin"
"94610","Alameda"
